Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
May,2,Monday,Mazda,Urban,Monday,May,3,Male,Married,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13333,14,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,3513.27,
Aug,2,Thursday,Honda,Urban,Wednesday,Aug,3,Female,Married,23,Third Party,Sedan - Collision,Sedan,20000 to 29000,13337,6,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,5283.71,
Sep,1,Sunday,Chevrolet,Urban,Tuesday,Sep,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13342,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,50283.66,
Jan,1,Wednesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13344,1,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,7031.01,
Jul,1,Thursday,Toyota,Urban,Tuesday,Jul,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,less than 20000,13351,10,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,3797.77,
Oct,1,Sunday,Honda,Rural,Friday,Oct,1,Male,Married,56,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13357,11,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,All Perils,5554.98,
Sep,1,Saturday,Honda,Urban,Tuesday,Sep,1,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13371,16,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,30668.79,
Jul,4,Friday,Pontiac,Urban,Monday,Aug,1,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,13372,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision,8963.18,
Mar,3,Monday,Honda,Urban,Monday,Mar,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13374,3,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,7157.98,
May,2,Monday,Pontiac,Urban,Wednesday,May,4,Male,Married,44,Third Party,Sedan - All Perils,Sedan,less than 20000,13379,15,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,9530.77,
Nov,3,Wednesday,Toyota,Rural,Thursday,Nov,3,Female,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,13386,15,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,62706.3,
Sep,4,Thursday,Toyota,Urban,Thursday,Sep,4,Male,Single,52,Third Party,Sedan - All Perils,Sedan,less than 20000,13390,4,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,51509.22,
Nov,1,Thursday,Pontiac,Urban,Wednesday,Nov,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13392,7,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,9865.41,
Jun,4,Monday,Pontiac,Urban,Tuesday,Jun,4,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,13394,15,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,59663.53,
Jun,2,Monday,Toyota,Urban,Tuesday,Jun,3,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13402,11,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,34868.05,
Aug,1,Tuesday,Mazda,Urban,Monday,Oct,1,Male,Single,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13423,7,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,29277.03,
Apr,4,Thursday,Mazda,Urban,Thursday,Apr,5,Male,Married,74,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13424,8,700,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,17039.88,
Jul,2,Monday,Chevrolet,Rural,Tuesday,Jul,3,Male,Married,37,Third Party,Utility - Liability,Utility,more than 69000,13431,3,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,9222.45,
Aug,3,Saturday,Pontiac,Urban,Monday,Aug,4,Female,Single,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13432,16,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,8311.71,
Jul,2,Monday,Mazda,Urban,Monday,Jul,3,Female,Widow,55,Third Party,Sedan - Collision,Sedan,30000 to 39000,13437,15,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,5284.17,
Jul,2,Monday,Pontiac,Urban,Tuesday,Jul,2,Male,Single,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13438,15,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,7443.96,
Jul,2,Tuesday,Toyota,Urban,Wednesday,Oct,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,less than 20000,13449,1,400,1,none,more than 30,none,7 years,41 to 50,No,No,External,none,no change,3 to 4,1996,Collision,26196.88,
Jul,3,Friday,Pontiac,Urban,Thursday,Jul,4,Female,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13456,2,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,5979.82,
May,5,Monday,Pontiac,Urban,Friday,Jun,1,Female,Married,26,Third Party,Sedan - All Perils,Sedan,30000 to 39000,13458,3,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,8504.78,
Jul,3,Sunday,Mazda,Urban,Tuesday,Jul,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13459,1,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,5381.82,
Nov,4,Sunday,Mazda,Urban,Tuesday,Nov,5,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13469,12,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,1 year,1 vehicle,1996,Collision,4471.39,
Dec,2,Wednesday,Mazda,Urban,Wednesday,Dec,2,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13470,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,3 to 5,no change,1 vehicle,1996,Collision,52644.88,
Jul,1,Tuesday,Pontiac,Urban,Friday,Jun,2,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13478,6,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils,51042.24,
Jul,2,Wednesday,Pontiac,Urban,Monday,Jul,3,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13489,2,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,2730.17,
Nov,1,Wednesday,Pontiac,Urban,Monday,Nov,4,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13493,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,32823.55,
Feb,1,Thursday,Honda,Urban,Thursday,Feb,1,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,13500,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,901.11,
Jun,4,Thursday,Honda,Urban,Wednesday,Jun,5,Male,Married,49,Policy Holder,Sedan - Liability,Sport,more than 69000,13504,13,400,2,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability,5480.75,
Jan,4,Friday,Mazda,Urban,Tuesday,Jan,5,Male,Married,33,Third Party,Sedan - Liability,Sport,30000 to 39000,13506,1,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,5708.06,
Jul,2,Thursday,Toyota,Urban,Wednesday,Jul,4,Male,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,13508,14,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,23882.6,
Oct,2,Monday,Mazda,Urban,Monday,Oct,2,Male,Married,34,Third Party,Sedan - All Perils,Sedan,30000 to 39000,13513,15,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,3338.77,
Feb,3,Tuesday,Toyota,Urban,Wednesday,Feb,3,Male,Married,33,Third Party,Sedan - Liability,Sport,30000 to 39000,13517,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,12777.23,
Jan,2,Tuesday,Pontiac,Urban,Thursday,Jan,2,Male,Married,47,Third Party,Sedan - Liability,Sport,20000 to 29000,13519,12,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,7084.4,
Jun,1,Tuesday,Mazda,Urban,Monday,Jun,2,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13525,9,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,3812.63,
Jul,3,Friday,Toyota,Urban,Monday,Jul,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13528,12,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,55112.58,
Mar,1,Saturday,Mazda,Urban,Wednesday,Mar,3,Male,Married,45,Third Party,Sport - Collision,Sport,more than 69000,13530,7,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,57252.27,
Jan,5,Monday,Mazda,Urban,Monday,Jan,5,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13531,9,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1996,Collision,3471.61,
Jun,2,Wednesday,Chevrolet,Urban,Thursday,Jun,2,Male,Single,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13532,4,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,5816.41,
Mar,3,Wednesday,Honda,Urban,Wednesday,Mar,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13534,13,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,7333.12,
Jan,5,Saturday,Honda,Urban,Friday,Feb,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13537,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,71331.1,
Jul,3,Saturday,Mazda,Rural,Monday,Jul,4,Female,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,13542,1,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,46198.46,
Jan,2,Thursday,Chevrolet,Urban,Friday,Jan,2,Male,Single,44,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,13544,9,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,7660.93,
Jan,2,Thursday,Pontiac,Urban,Tuesday,Jan,3,Male,Single,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13546,6,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,5131.56,
Jul,3,Monday,Toyota,Urban,Wednesday,Jul,3,Male,Single,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13548,11,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,69143.47,
Jul,3,Saturday,Mazda,Urban,Wednesday,Jul,3,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,13552,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,6716.98,
Apr,2,Monday,Honda,Urban,Tuesday,Apr,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,13558,8,400,1,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability,17388.77,
Feb,2,Wednesday,Pontiac,Urban,Monday,Feb,2,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,13563,13,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,Yes,External,none,no change,1 vehicle,1996,All Perils,4151.4,
Feb,2,Sunday,Chevrolet,Urban,Monday,Feb,3,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13565,13,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,9886.65,
Jan,1,Friday,Pontiac,Urban,Tuesday,Jan,2,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13568,7,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Liability,4027.62,
Mar,2,Sunday,BMW,Urban,Monday,Mar,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13570,5,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,78176.82,
Jul,4,Monday,Accura,Rural,Thursday,Aug,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13573,15,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,35665.56,
Jul,2,Monday,Mazda,Urban,Tuesday,Jul,2,Male,Married,57,Policy Holder,Utility - All Perils,Utility,more than 69000,13580,10,400,3,more than 30,more than 30,1,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,94569.88,
Jul,3,Thursday,Honda,Urban,Monday,Jul,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13587,8,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,999.71,
Jan,2,Saturday,Honda,Urban,Wednesday,Jan,4,Male,Married,59,Third Party,Sedan - Collision,Sedan,more than 69000,13589,5,400,2,more than 30,more than 30,none,new,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,5789.26,
Apr,3,Sunday,Pontiac,Urban,Thursday,Apr,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13598,14,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,20674.24,
Feb,1,Monday,Honda,Urban,Wednesday,Feb,2,Female,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,13599,5,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,2365.24,
Jan,2,Thursday,Pontiac,Urban,Tuesday,Feb,2,Male,Single,44,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13608,2,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,7624.51,
Feb,2,Saturday,Mazda,Urban,Monday,Feb,4,Male,Married,76,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13610,16,700,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,All Perils,4572.82,
Oct,4,Saturday,Pontiac,Urban,Monday,Oct,4,Male,Married,72,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13616,2,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,All Perils,5126.33,
Oct,4,Saturday,Pontiac,Urban,Tuesday,Oct,4,Male,Married,60,Third Party,Sedan - Collision,Sedan,20000 to 29000,13618,8,500,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,2 to 3 years,1 vehicle,1996,Collision,86123.78,
Sep,1,Monday,Toyota,Urban,Monday,Sep,1,Male,Single,27,Policy Holder,Sedan - Liability,Sport,60000 to 69000,13619,3,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,3816.1,
Dec,3,Thursday,Pontiac,Urban,Friday,Dec,3,Male,Married,61,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13625,16,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability,65302.33,
Oct,3,Thursday,Mazda,Urban,Friday,Oct,3,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13627,3,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,7676.13,
Dec,3,Saturday,Pontiac,Urban,Thursday,Feb,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,more than 69000,13632,16,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,64888.14,
Mar,3,Monday,Ford,Urban,Tuesday,Mar,4,Male,Single,37,Policy Holder,Sedan - Liability,Sport,more than 69000,13635,13,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,9628.47,
Jul,3,Tuesday,Chevrolet,Urban,Thursday,Jul,3,Male,Married,52,Third Party,Sedan - Collision,Sedan,20000 to 29000,13636,8,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,4486.71,
Mar,1,Wednesday,Pontiac,Rural,Thursday,Mar,1,Female,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13637,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,50696.68,
Apr,4,Monday,Toyota,Urban,Monday,May,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13638,3,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,751.27,
Apr,2,Saturday,VW,Urban,Wednesday,Apr,2,Female,Married,55,Policy Holder,Sedan - All Perils,Sedan,more than 69000,13641,1,700,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,1229.87,
Aug,5,Tuesday,Toyota,Urban,Tuesday,Sep,1,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13646,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,63123.39,
May,3,Friday,Toyota,Urban,Wednesday,Nov,1,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13647,7,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,93682.82,
Sep,1,Saturday,Saab,Urban,Tuesday,Sep,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13649,12,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,8875.5,
Feb,1,Thursday,Mazda,Urban,Friday,Feb,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13653,10,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,6240.34,
Jan,1,Sunday,Mazda,Urban,Thursday,Feb,1,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13656,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,43904.7,
Jul,3,Thursday,Mazda,Urban,Friday,Jul,4,Male,Single,29,Third Party,Sedan - Collision,Sedan,more than 69000,13658,7,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,33316.41,
Feb,4,Wednesday,Honda,Urban,Thursday,Feb,4,Male,Married,28,Third Party,Sedan - Liability,Sport,20000 to 29000,13665,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,3387.44,
Feb,2,Thursday,Toyota,Urban,Thursday,Feb,2,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,less than 20000,13667,4,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,5785.33,
Feb,1,Tuesday,Mazda,Urban,Wednesday,Feb,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13668,10,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,2803.12,
Jan,5,Monday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,47,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13670,9,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,5533.28,
Sep,3,Thursday,Chevrolet,Urban,Thursday,Jan,1,Male,Married,63,Policy Holder,Utility - All Perils,Utility,more than 69000,13682,14,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,3138.27,
